ordinal,field_name,sqlite_type,not_null,default_value,primary_key,is_geometry_column
0,OBJECTID,INTEGER,1,,1,False
1,Shape,POINT,0,,0,True
2,Id,MEDIUMINT,0,,0,False
3,Id_Origen,MEDIUMINT,0,,0,False
4,Longitud,DOUBLE,0,,0,False
5,Latitud,DOUBLE,0,,0,False
6,id_fuente,MEDIUMINT,0,,0,False
7,Fuente,TEXT(8000),0,,0,False
8,Tipo,TEXT(8000),0,,0,False
9,Detalle_Tipo,TEXT(8000),0,,0,False
10,Año,MEDIUMINT,0,,0,False
11,Uso_Origen,TEXT(8000),0,,0,False
12,Subuso_Origen,TEXT(8000),0,,0,False
13,Clave,TEXT(8000),0,,0,False
14,id_0,MEDIUMINT,0,,0,False
15,Nivel_0,TEXT(8000),0,,0,False
16,id_cob_niv1,MEDIUMINT,0,,0,False
17,Nivel_1,TEXT(8000),0,,0,False
18,id_cob_niv2,MEDIUMINT,0,,0,False
19,Nivel_2,TEXT(8000),0,,0,False
20,IDRegMunic,TEXT(8000),0,,0,False
21,Pais_cod3,TEXT(8000),0,,0,False
22,Pais_es,TEXT(8000),0,,0,False
23,Admin1_id,MEDIUMINT,0,,0,False
24,Admin1name,TEXT(8000),0,,0,False
25,Adm1tipo,TEXT(8000),0,,0,False
26,Admin2_id,MEDIUMINT,0,,0,False
27,Admin2name,TEXT(8000),0,,0,False
28,Adm2tipo,TEXT(8000),0,,0,False
29,CodigoNiv1,MEDIUMINT,0,,0,False
30,CodigoNiv2,MEDIUMINT,0,,0,False
31,GBM_Nivel1,TEXT(8000),0,,0,False
32,GBM_Nivel2,TEXT(8000),0,,0,False
33,Cobertura,MEDIUMINT,0,,0,False
34,Altura,MEDIUMINT,0,,0,False
35,NDVI,DOUBLE,0,,0,False
36,Deforesta,MEDIUMINT,0,,0,False
37,conf_ndvi,DOUBLE,0,,0,False
38,conf_cobertura,DOUBLE,0,,0,False
39,conf_altura,DOUBLE,0,,0,False
40,conf_integrada,DOUBLE,0,,0,False
41,Forest20,MEDIUMINT,0,,0,False
42,WorldCov21,MEDIUMINT,0,,0,False
