Pais_es,Nivel_1,n
El Salvador,41 Bosque latifoliado y mixto ,340001
El Salvador,"33 Cultivos extensivos, Pastizales y matorrales",316053
El Salvador,31 Cultivos intensivos No-Arbóreos,266098
Belice,41 Bosque latifoliado y mixto ,235579
El Salvador,32 Cultivos Arbóreos,180299
Honduras,41 Bosque latifoliado y mixto ,139160
Costa Rica,41 Bosque latifoliado y mixto ,128771
Honduras,"33 Cultivos extensivos, Pastizales y matorrales",113710
Guatemala,32 Cultivos Arbóreos,111112
Costa Rica,"33 Cultivos extensivos, Pastizales y matorrales",108440
Guatemala,31 Cultivos intensivos No-Arbóreos,99353
Honduras,32 Cultivos Arbóreos,80414
Costa Rica,44 Otros arbóreo en tierras no agrícola,78808
Costa Rica,91 Otras,72992
Belice,"33 Cultivos extensivos, Pastizales y matorrales",70273
Honduras,42 Bosque de coníferas,64708
El Salvador,11 Urbano,55994
Honduras,31 Cultivos intensivos No-Arbóreos,48627
Costa Rica,32 Cultivos Arbóreos,35345
Belice,31 Cultivos intensivos No-Arbóreos,34544
Belice,42 Bosque de coníferas,32601
Costa Rica,31 Cultivos intensivos No-Arbóreos,26409
Panamá,31 Cultivos intensivos No-Arbóreos,24524
El Salvador,43 Manglares,20770
Belice,22 Humedales,20429
Costa Rica,11 Urbano,19701
Guatemala,"33 Cultivos extensivos, Pastizales y matorrales",16483
El Salvador,42 Bosque de coníferas,12174
Belice,43 Manglares,11981
Belice,44 Otros arbóreo en tierras no agrícola,11804
El Salvador,12 Otras tierras,10261
Guatemala,41 Bosque latifoliado y mixto ,10204
El Salvador,44 Otros arbóreo en tierras no agrícola,10182
Honduras,22 Humedales,8809
Panamá,"33 Cultivos extensivos, Pastizales y matorrales",6604
México,41 Bosque latifoliado y mixto ,6486
Panamá,41 Bosque latifoliado y mixto ,6283
Honduras,11 Urbano,4883
Costa Rica,22 Humedales,4858
Belice,21 Cuerpos de Agua,4398
Honduras,43 Manglares,4221
Belice,11 Urbano,4206
El Salvador,21 Cuerpos de Agua,3918
Honduras,21 Cuerpos de Agua,2999
México,"33 Cultivos extensivos, Pastizales y matorrales",1950
Costa Rica,21 Cuerpos de Agua,1558
Panamá,43 Manglares,1502
Guatemala,11 Urbano,1137
Belice,12 Otras tierras,1111
Costa Rica,12 Otras tierras,998
Nicaragua,41 Bosque latifoliado y mixto ,780
México,31 Cultivos intensivos No-Arbóreos,696
Nicaragua,"33 Cultivos extensivos, Pastizales y matorrales",662
Panamá,11 Urbano,506
Guatemala,42 Bosque de coníferas,467
Guatemala,21 Cuerpos de Agua,431
Honduras,12 Otras tierras,430
México,43 Manglares,414
Guatemala,22 Humedales,324
Guatemala,12 Otras tierras,314
México,22 Humedales,310
Guatemala,43 Manglares,271
Costa Rica,43 Manglares,261
Guatemala,44 Otros arbóreo en tierras no agrícola,243
Panamá,21 Cuerpos de Agua,162
Nicaragua,42 Bosque de coníferas,155
Nicaragua,43 Manglares,126
México,42 Bosque de coníferas,116
Nicaragua,21 Cuerpos de Agua,94
Panamá,44 Otros arbóreo en tierras no agrícola,91
Panamá,32 Cultivos Arbóreos,84
Honduras,44 Otros arbóreo en tierras no agrícola,79
Panamá,22 Humedales,74
Nicaragua,22 Humedales,70
Nicaragua,44 Otros arbóreo en tierras no agrícola,51
México,11 Urbano,30
México,21 Cuerpos de Agua,29
México,44 Otros arbóreo en tierras no agrícola,24
México,12 Otras tierras,22
El Salvador,91 Otras,15
Panamá,12 Otras tierras,14
Nicaragua,11 Urbano,13
Nicaragua,31 Cultivos intensivos No-Arbóreos,12
El Salvador,22 Humedales,8
México,32 Cultivos Arbóreos,8
Nicaragua,32 Cultivos Arbóreos,8
Panamá,91 Otras,3
Nicaragua,12 Otras tierras,1
