Pais_es,Fuente,n
El Salvador,FCPF - Malla MRV-REDD+ El Salvador,1012034
Belice,FCPF - Malla MRV-REDD+ Belize ,412927
Honduras,FCPF - Malla MRV-REDD+ Honduras,333360
Costa Rica,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,316785
Guatemala,MAGA - Cultivos - Mapa Guatemala,206856
El Salvador,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,197043
Honduras,ICF - Cultivos - Mapa Honduras,106393
Costa Rica,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",99756
Costa Rica,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,31172
Panamá,MIAMBIENTE - Cultivos Mapa Panamá,24469
Guatemala,FCPF - Malla MRV-REDD+ Guatemala,22728
Costa Rica,CENAT/PRIAS - Cultivos - Costa Rica,22219
Honduras,FCPF - Malla MRV-REDD+ El Salvador,15568
Honduras,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",12497
Belice,FOREST DEPARTMENT - Cultivos - Mapa Belize,11585
Panamá,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",10425
Costa Rica,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",7854
Guatemala,"Muestras de Entrenamiento de Jimenez, 2020 - Guatemala",6786
El Salvador,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",6166
Panamá,MIAMBIENTE - Mapa de bosques y otras tierras boscosas de Panamá,4716
México,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",3150
México,"CONAFOR -Inventario Forestal Estado Campeche, México",2693
Belice,"Muestras de Entrenamiento de Jimenez, 2020 - Belice",2408
Guatemala,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,2267
México,"CONAFOR -Inventario Forestal Estado Yucatán, México",1974
México,"CONAFOR -Inventario Forestal Estado Chiapas, , México",1818
Nicaragua,"Muestras de Entrenamiento de Jimenez, 2020 - Nicaragua",1490
Guatemala,FCPF - Malla MRV-REDD+ El Salvador,870
México,"CONAFOR -Inventario Forestal Estado Tabasco, México",334
Guatemala,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,333
Nicaragua,FAO - Evaluación Nacional Forestal  Nicaragua,320
El Salvador,MARN-MAG/FCPF - Inventario Forestal El Salvador,318
Costa Rica,SINAC-CCAD/GIZ - Inventario Forestal Costa Rica,276
Guatemala,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,250
Honduras,FAO - Evaluación Nacional Forestal Honduras,153
Nicaragua,FCPF - Malla MRV-REDD+ Honduras,126
El Salvador,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,112
Guatemala,FAO - Evaluación Nacional Forestal Guatemala,100
Guatemala,FCPF - Malla MRV-REDD+ Belize ,76
Panamá,ACP-CCAD/GIZ - Inventario Forestal Complemento Piloto Panamá,73
El Salvador,MAG - Inventario Forestal Preliminar Piloto El Salvador,70
México,MAGA - Cultivos - Mapa Guatemala,63
Guatemala,INAB-CCAD/GIZ- Inventario Bosque Municipal Olintepeque,54
Honduras,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",51
Panamá,ACP-CCAD/GIZ - Inventario de Bosque Natural Piloto Panamá,49
Panamá,ACP-CCAD/GIZ - Inventario Forestal Piloto Panamá,37
Panamá,MIAMBIENTE/ONUREDD - Inventario Forestal Panamá,36
Costa Rica,FAO - Evaluación Nacional Forestal Costa Rica,35
México,FCPF - Malla MRV-REDD+ Guatemala,34
Costa Rica,SINA-CCAD/GIZ - Inventario Forestal Piloto Terraba-Sierpe Costa Rica,30
Nicaragua,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",25
Panamá,"SINAC - Malla de Entrenamientos del Mapa de Bosques 2021, Costa Rica",22
México,FCPF - Malla MRV-REDD+ Belize ,19
El Salvador,FCPF - Malla MRV-REDD+ Honduras,18
Honduras,MAGA - Cultivos - Mapa Guatemala,18
Guatemala,ICF - Cultivos - Mapa Honduras,15
Panamá,ACP-CCAD/GIZ - Inventario de Matorrales Piloto Panamá,10
Costa Rica,"Muestras de Entrenamiento de Jimenez, 2020 - Panamá",8
Nicaragua,ICF - Cultivos - Mapa Honduras,8
El Salvador,MAGA - Cultivos - Mapa Guatemala,7
Belice,MAGA - Cultivos - Mapa Guatemala,6
Costa Rica,MIAMBIENTE - Cultivos Mapa Panamá,6
El Salvador,FCPF - Malla MRV-REDD+ Guatemala,4
Guatemala,"Muestras de Entrenamiento de Jimenez, 2020 - El Salvador",4
Panamá,CENAT/PRIAS - Cultivos - Costa Rica,4
Panamá,ICAFE - Poligono de zonasdel cultivo de café de Costa Rica,4
Nicaragua,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",2
Panamá,"Muestras de Entrenamiento de Jimenez, 2020 - Costa Rica",2
El Salvador,"Muestras de Entrenamiento de Jimenez, 2020 - Honduras",1
Nicaragua,CENAT/PRIAS - Cultivos - Costa Rica,1
