group_field,grupo,anio,n
Pais_es,Belice,2000,21733
Pais_es,Belice,2001,21733
Pais_es,Belice,2002,21733
Pais_es,Belice,2003,21733
Pais_es,Belice,2004,21733
Pais_es,Belice,2005,21733
Pais_es,Belice,2006,21733
Pais_es,Belice,2007,21733
Pais_es,Belice,2008,21733
Pais_es,Belice,2009,21733
Pais_es,Belice,2010,21733
Pais_es,Belice,2011,21733
Pais_es,Belice,2012,21733
Pais_es,Belice,2013,21733
Pais_es,Belice,2014,21733
Pais_es,Belice,2015,21733
Pais_es,Belice,2016,21733
Pais_es,Belice,2017,24141
Pais_es,Belice,2018,33318
Pais_es,Belice,2020,6
Pais_es,Costa Rica,2001,35
Pais_es,Costa Rica,2005,105595
Pais_es,Costa Rica,2012,121196
Pais_es,Costa Rica,2014,276
Pais_es,Costa Rica,2016,85290
Pais_es,Costa Rica,2017,23542
Pais_es,Costa Rica,2018,20226
Pais_es,Costa Rica,2019,22219
Pais_es,Costa Rica,2021,99762
Pais_es,El Salvador,2000,506017
Pais_es,El Salvador,2001,65681
Pais_es,El Salvador,2003,46
Pais_es,El Salvador,2004,24
Pais_es,El Salvador,2005,1
Pais_es,El Salvador,2006,3
Pais_es,El Salvador,2007,1
Pais_es,El Salvador,2008,1
Pais_es,El Salvador,2009,1
Pais_es,El Salvador,2010,1
Pais_es,El Salvador,2011,1
Pais_es,El Salvador,2012,65682
Pais_es,El Salvador,2013,1
Pais_es,El Salvador,2014,1
Pais_es,El Salvador,2015,1
Pais_es,El Salvador,2016,3
Pais_es,El Salvador,2017,6168
Pais_es,El Salvador,2018,572017
Pais_es,El Salvador,2019,113
Pais_es,El Salvador,2020,8
Pais_es,El Salvador,2021,1
Pais_es,El Salvador,2022,1
Pais_es,Guatemala,2000,439
Pais_es,Guatemala,2001,115
Pais_es,Guatemala,2002,46
Pais_es,Guatemala,2003,62
Pais_es,Guatemala,2004,4
Pais_es,Guatemala,2005,4
Pais_es,Guatemala,2006,11368
Pais_es,Guatemala,2007,4
Pais_es,Guatemala,2008,4
Pais_es,Guatemala,2009,4
Pais_es,Guatemala,2010,4
Pais_es,Guatemala,2011,4
Pais_es,Guatemala,2012,115
Pais_es,Guatemala,2013,4
Pais_es,Guatemala,2014,41
Pais_es,Guatemala,2015,21
Pais_es,Guatemala,2016,11368
Pais_es,Guatemala,2017,6794
Pais_es,Guatemala,2018,2710
Pais_es,Guatemala,2019,372
Pais_es,Guatemala,2020,206856
Pais_es,Honduras,2000,7784
Pais_es,Honduras,2005,18673
Pais_es,Honduras,2006,18520
Pais_es,Honduras,2007,18520
Pais_es,Honduras,2008,18520
Pais_es,Honduras,2009,18520
Pais_es,Honduras,2010,18520
Pais_es,Honduras,2011,18520
Pais_es,Honduras,2012,18520
Pais_es,Honduras,2013,18520
Pais_es,Honduras,2014,18520
Pais_es,Honduras,2015,18520
Pais_es,Honduras,2016,18520
Pais_es,Honduras,2017,31068
Pais_es,Honduras,2018,132697
Pais_es,Honduras,2019,18520
Pais_es,Honduras,2020,18538
Pais_es,Honduras,2021,18520
Pais_es,Honduras,2022,18520
Pais_es,México,2000,1
Pais_es,México,2001,1
Pais_es,México,2002,1
Pais_es,México,2003,1
Pais_es,México,2004,1
Pais_es,México,2005,1
Pais_es,México,2006,18
Pais_es,México,2007,1
Pais_es,México,2008,1
Pais_es,México,2009,1
Pais_es,México,2010,1
Pais_es,México,2011,1
Pais_es,México,2012,1
Pais_es,México,2013,1
Pais_es,México,2014,1
Pais_es,México,2015,3987
Pais_es,México,2016,2836
Pais_es,México,2017,1007
Pais_es,México,2018,759
Pais_es,México,2019,1401
Pais_es,México,2020,63
Pais_es,Nicaragua,2005,7
Pais_es,Nicaragua,2006,7
Pais_es,Nicaragua,2007,327
Pais_es,Nicaragua,2008,7
Pais_es,Nicaragua,2009,7
Pais_es,Nicaragua,2010,7
Pais_es,Nicaragua,2011,7
Pais_es,Nicaragua,2012,7
Pais_es,Nicaragua,2013,7
Pais_es,Nicaragua,2014,7
Pais_es,Nicaragua,2015,7
Pais_es,Nicaragua,2016,7
Pais_es,Nicaragua,2017,1499
Pais_es,Nicaragua,2018,15
Pais_es,Nicaragua,2019,8
Pais_es,Nicaragua,2020,7
Pais_es,Nicaragua,2021,32
Pais_es,Nicaragua,2022,7
Pais_es,Panamá,2014,37
Pais_es,Panamá,2015,85
Pais_es,Panamá,2016,83
Pais_es,Panamá,2017,10427
Pais_es,Panamá,2018,4
Pais_es,Panamá,2019,4
Pais_es,Panamá,2021,29207
