Nivel_2,records,percentage
410 Bosque latifoliado y mixto ,246372,20.6012
321 Café,220151,18.4086
332 Pastizales naturales y cultivados,124357,10.3985
315 Otros cultivos intensivos no arbóreos,116957,9.7797
313 Caña de azúcar,104160,8.7097
311 Palma aceitera,79056,6.6105
333 Matorrales (barbecho o en descanso),65802,5.5022
331 Granos básicos y hortalizas  y otros,27587,2.3068
325 Otros sistemas agroforestales o silvopastoriles,24926,2.0843
420 Bosque de coníferas,23984,2.0055
324 Hule,22488,1.8804
312 Bananeras,17303,1.4468
112 Urbano discontinuo,17271,1.4442
314 Piña,13453,1.1249
430 Manglares,12314,1.0297
411 Latifoliado maduro húmedo,11357,0.9497
111 Urbano continuo,10995,0.9194
414 Bosque seco o deciduo,8476,0.7087
220 Humedales,7471,0.6247
323 Frutales,6672,0.5579
910 Otras,6152,0.5144
412 Latifoliado secundario húmedo,4505,0.3767
413 Bosque Mixto (Lat-Coniferas),4421,0.3697
442 Plantaciones forestales,3345,0.2797
210 Cuerpos de Agua,3051,0.2551
443  Árboles fuera de bosque y otras áreas naturales,3037,0.2539
121 Otros artificializado,2901,0.2426
"122 Suelo desnudo, arena, rocoso, lava, otros",2182,0.1825
110 Urbano,2128,0.1779
423 Sabanas de pino,1461,0.1222
322 Cacao,575,0.0481
444 Regeneración forestal,542,0.0453
441 Masa arbórea ribereña,339,0.0283
212 Cuerpos de agua artificial,69,0.0058
211 Cuerpos de agua natural,37,0.0031
445 Bosque de Palmas,14,0.0012
